id,cond,step,n_body_revealed,pos_norm,s_target,drop,cumulative_drop
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,0,0,0.0,4.746167182922363,,0.0
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,1,1,0.03225806451612903,4.286010265350342,0.4601569175720215,0.4601569175720215
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,2,2,0.06451612903225806,3.936682939529419,0.34932732582092285,0.8094842433929443
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,3,3,0.0967741935483871,3.797816038131714,0.13886690139770508,0.9483511447906494
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,4,4,0.12903225806451613,3.8697781562805176,-0.07196211814880371,0.8763890266418457
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,5,5,0.16129032258064516,3.8516905307769775,0.01808762550354004,0.8944766521453857
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,6,6,0.1935483870967742,3.8174896240234375,0.03420090675354004,0.9286775588989258
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,7,7,0.22580645161290322,3.5934393405914307,0.22405028343200684,1.1527278423309326
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,8,8,0.25806451612903225,3.693911075592041,-0.10047173500061035,1.0522561073303223
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,9,9,0.2903225806451613,3.875514507293701,-0.18160343170166016,0.8706526756286621
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,10,10,0.3225806451612903,3.669822931289673,0.20569157600402832,1.0763442516326904
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,11,11,0.3548387096774194,3.605266571044922,0.06455636024475098,1.1409006118774414
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,12,12,0.3870967741935484,3.4622693061828613,0.14299726486206055,1.283897876739502
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,13,13,0.41935483870967744,3.824982166290283,-0.3627128601074219,0.9211850166320801
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,14,14,0.45161290322580644,3.771967887878418,0.053014278411865234,0.9741992950439453
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,15,15,0.4838709677419355,3.7119390964508057,0.060028791427612305,1.0342280864715576
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,16,16,0.5161290322580645,3.7574191093444824,-0.04548001289367676,0.9887480735778809
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,17,17,0.5483870967741935,3.682284355163574,0.0751347541809082,1.063882827758789
